state,district,fy_2023_obligations,fy_2024_obligations,fy_2025_obligations
WA,WA-05,732044.0,545246.79,859510.65
WA,WA-06,174462.23,18000.0,49797.49
WA,WA-07,17942691.75,15611341.33,17630012.21
WA,WA-08,3329905.2,2262227.0,2765595.0
WA,WA-09,426053812.74,511172943.34,775426695.87
WA,WA-10,142285.79,29986.88,-13164.0
WI,WI-01,1711436.04,1827034.71,1766054.24
WI,WI-02,18096992.53,20042747.3,21871235.34
WI,WI-03,149947.0,316700.91,7306.09
WI,WI-04,855111.12,1449125.14,1353926.3
WI,WI-05,75000.0,101171.8,788822.15
WI,WI-06,0.0,0.0,0.0
WI,WI-07,34318.16,11183.84,47500.0
WI,WI-08,99586.53,0.0,8753.3
WV,WV-01,2939672.57,123837.25,401746.42
WV,WV-02,43354078.08,45135501.79,41000733.78
WY,WY-00,2625207.35,2949764.83,4097539.86
