state,district,fy_2023_obligations,fy_2024_obligations,fy_2025_obligations
TX,TX-18,1881282.10,2315332.71,7889182.14
TX,TX-19,912705.61,481360.20,966692.29
TX,TX-20,69943850.42,77212180.52,120443188.68
TX,TX-21,6.03,470824.00,720518.00
TX,TX-22,168510.00,-5722.68,313801.80
TX,TX-23,1373263.64,10067107.14,0.00
TX,TX-24,6657315.29,2324473.71,2858341.68
TX,TX-25,12674671.35,13353046.82,10848652.55
TX,TX-26,0.00,0.00,0.00
TX,TX-27,739686.00,665833.00,699163.38
TX,TX-28,159488.10,10101355.81,11419729.94
TX,TX-29,4236653.40,1448367.63,167380.86
TX,TX-30,98491.00,-63060.89,49040.00
TX,TX-31,95361676.93,22579976.90,104073195.41
TX,TX-32,1002657.74,853385.47,607052.70
TX,TX-33,31666.91,22695.00,0.00
TX,TX-34,-440.42,-181651.00,150449.32
TX,TX-35,1211505.99,190679.00,107739.00
TX,TX-36,78765155.54,114358255.95,21929907.16
TX,TX-37,109873.49,1919654.22,2378441.52
TX,TX-38,0.00,6000.00,0.00
UT,UT-01,8869267.91,6797155.46,11428643.69
UT,UT-02,242999.00,467134.03,69914.00
UT,UT-03,951113.00,940791.25,3078439.85
UT,UT-04,0.00,0.00,0.00
VA,VA-01,-216252.00,0.00,456049.16
VA,VA-02,78792705.03,82671927.67,76996401.69
VA,VA-03,45413735.96,69303624.70,60081639.03
VA,VA-04,197853.50,150583.95,425512.00
VA,VA-05,6323798.16,8058044.46,4410856.28
VA,VA-06,514630.25,391897.80,837045.97
VA,VA-07,303844.07,53505.35,93619.84
VA,VA-08,18713713.62,17258480.80,50677041.90
VA,VA-09,2643777.50,6534021.34,3924251.93
VA,VA-10,17740607.05,19907028.94,28930958.52
VA,VA-11,74281784.19,124898535.98,113828609.58
VI,VI-00,0.00,0.00,0.00
VT,VT-00,454857.00,323978.00,812313.00
WA,WA-01,657513.69,948446.30,51283.40
WA,WA-02,2392669.51,1531021.50,1510837.15
WA,WA-03,11690.00,43164.98,-14213.00
WA,WA-04,0.00,0.00,0.00
WA,WA-05,509116.00,413931.00,819643.50
WA,WA-06,0.00,0.00,0.00
WA,WA-07,14837125.05,12829171.87,14470286.82
WA,WA-08,2038357.20,1337275.00,2337978.00
WA,WA-09,153990.00,7571515.00,12585688.05
WA,WA-10,0.00,0.00,0.00
WI,WI-01,153175.00,194952.00,192055.00
WI,WI-02,12469418.31,15889288.93,17837527.38
WI,WI-03,0.00,0.00,0.00
WI,WI-04,488486.12,1125664.00,1308927.00
WI,WI-05,0.00,2000.00,32604.00
WI,WI-06,0.00,0.00,0.00
WI,WI-07,0.00,0.00,0.00
WI,WI-08,0.00,0.00,0.00
WV,WV-01,0.00,0.00,0.00
WV,WV-02,3560553.81,1868698.35,4002800.76
WY,WY-00,288544.53,1120086.00,961123.00
